what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1339077605932
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1339077605933
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1339077605933
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1339077605934
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1339077605935
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1339077605936
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1339077605937
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1339077605938
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1339077605939
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1339077605957
os,sysinfo,,,"win32",1339077605961
arch,sysinfo,,,"x86_64",1339077605961
ws,sysinfo,,,"win32",1339077605961
locale,sysinfo,,,"en_US",1339077605961
processors,sysinfo,,,"8",1339077605961
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339077605961
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1339077605961
java.specification.name,sysinfo,,,"Java Platform API Specification",1339077605961
java.specification.vendor,sysinfo,,,"Oracle Corporation",1339077605961
java.specification.version,sysinfo,,,"1.7",1339077605961
java.vendor,sysinfo,,,"Oracle Corporation",1339077605961
java.version,sysinfo,,,"1.7.0_03",1339077605961
java.vm.info,sysinfo,,,"mixed mode",1339077605961
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1339077605961
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339077605961
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339077605961
java.vm.specification.version,sysinfo,,,"1.7",1339077605961
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339077605961
java.vm.version,sysinfo,,,"22.1-b02",1339077605961
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339077606493
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339077606533
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1339077610858
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1339077846603
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1339077846677
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1339077846834
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1339077847271
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1339077847273
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1339077847501
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1339077847805
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1339077848030
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1339077848790
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1339077848943
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1339077849108
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1339077849399
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1339077849987
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1339077850488
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1339077850816
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1339077851380
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1339077854768
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1339077854897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339077864126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339077870971
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339077879984
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1339077880010
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1339077880040
error,log,,,"Core exception while retrieving the content description",1339077881467
error,log,,,"Core exception while retrieving the content description",1339077881473
error,log,,,"Core exception while retrieving the content description",1339077881610
error,log,,,"Core exception while retrieving the content description",1339077881614
error,log,,,"Core exception while retrieving the content description",1339077881619
error,log,,,"Core exception while retrieving the content description",1339077881623
error,log,,,"Core exception while retrieving the content description",1339077881738
error,log,,,"Core exception while retrieving the content description",1339077881743
error,log,,,"Core exception while retrieving the content description",1339077881748
error,log,,,"Core exception while retrieving the content description",1339077881753
error,log,,,"Core exception while retrieving the content description",1339077881757
error,log,,,"Core exception while retrieving the content description",1339077881761
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1339077883719
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1339077883740
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1339077883866
